SOURCE_ASSET_KEY,TARGET_ASSET_KEY
clickhouse/database/core,clickhouse/grant/dbt_user__INSERT__core
clickhouse/database/core,clickhouse/grant/dbt_user__SELECT__core
clickhouse/database/core,clickhouse/grant/mbe_user__SELECT__core
clickhouse/database/disco,clickhouse/grant/dbt_user__CREATE__disco
clickhouse/database/disco,clickhouse/grant/dbt_user__DROP__disco
clickhouse/database/disco,clickhouse/grant/dbt_user__INSERT__disco
clickhouse/database/disco,clickhouse/grant/dbt_user__SELECT__disco
clickhouse/database/disco,clickhouse/grant/mbe_user__SELECT__disco
clickhouse/database/events,clickhouse/grant/dbt_user__CREATE__events
clickhouse/database/events,clickhouse/grant/dbt_user__INSERT__events
clickhouse/database/events,clickhouse/grant/dbt_user__SELECT__events
clickhouse/database/events,clickhouse/grant/mbe_user__SELECT__events
clickhouse/database/events,clickhouse/materialized_view/events__backend__events_mv_v2
clickhouse/database/events,clickhouse/materialized_view/events__frontend__events_mv_v3
clickhouse/database/events,clickhouse/table/events__backend__events_v2
clickhouse/database/events,clickhouse/table/events__frontend__events_v3
clickhouse/database/events,clickhouse/view/events__backend__events_view
clickhouse/database/events,clickhouse/view/events__example
clickhouse/database/events,clickhouse/view/events__frontend__events_view
clickhouse/database/logistics,clickhouse/grant/dbt_user__CREATE__logistics
clickhouse/database/logistics,clickhouse/grant/dbt_user__DROP__logistics
clickhouse/database/logistics,clickhouse/grant/dbt_user__INSERT__logistics
clickhouse/database/logistics,clickhouse/grant/dbt_user__SELECT__logistics
clickhouse/database/logistics,clickhouse/grant/mbe_user__SELECT__logistics
clickhouse/database/logistics,clickhouse/materialized_view/logistics__shipment_updates_mv_v2
clickhouse/database/logistics,clickhouse/table/logistics__shipment_updates_v2
clickhouse/database/logistics,clickhouse/view/logistics__shipment_updates_view
clickhouse/database/sellx,clickhouse/grant/dbt_user__CREATE__sellx
clickhouse/database/sellx,clickhouse/grant/dbt_user__DROP__sellx
clickhouse/database/sellx,clickhouse/grant/dbt_user__INSERT__sellx
clickhouse/database/sellx,clickhouse/grant/dbt_user__SELECT__sellx
clickhouse/database/sellx,clickhouse/grant/mbe_user__SELECT__sellx
clickhouse/database/sre,clickhouse/grant/dbt_user__CREATE__sre
clickhouse/database/sre,clickhouse/grant/dbt_user__DROP__sre
clickhouse/database/sre,clickhouse/grant/dbt_user__INSERT__sre
clickhouse/database/sre,clickhouse/grant/dbt_user__SELECT__sre
clickhouse/database/sre,clickhouse/grant/mbe_user__SELECT__sre
clickhouse/database/sre,clickhouse/materialized_view/sre__backend_story_events_mv
clickhouse/database/sre,clickhouse/materialized_view/sre__frontend_story_events_mv
clickhouse/database/sre,clickhouse/table/sre__e2e_slo_story_events
clickhouse/database/sre,clickhouse/view/sre__e2e_slo_story_events_view
clickhouse/database/trust_and_safety,clickhouse/grant/dbt_user__CREATE__trust_and_safety
clickhouse/database/trust_and_safety,clickhouse/grant/dbt_user__DROP__trust_and_safety
clickhouse/database/trust_and_safety,clickhouse/grant/dbt_user__INSERT__trust_and_safety
clickhouse/database/trust_and_safety,clickhouse/grant/dbt_user__SELECT__trust_and_safety
clickhouse/database/trust_and_safety,clickhouse/grant/mbe_user__SELECT__trust_and_safety
