ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
snowflake/dbt/products/similar_listings__personalized_similar_listing_taps,dbt__products__similar_listings,t3,CoreML,snowflake
snowflake/dbt/products/similar_listings__previous_purchases,dbt__products__similar_listings,t1,CoreML,snowflake
snowflake/dbt/products/similar_listings__user_engagement_embedding_v0,dbt__products__similar_listings,t2,CoreML,snowflake
snowflake/dbt/products/similar_listings__web_ldp_slu_imps,dbt__products__similar_listings,t3,CoreML,snowflake
snowflake/dbt/products/similar_listings__web_ldp_slu_taps,dbt__products__similar_listings,t3,CoreML,snowflake
snowflake/dbt/products/similar_listings__web_ldp_views,dbt__products__similar_listings,t3,CoreML,snowflake
snowflake/dbt/products/snapshot__a_shipments,dbt__snapshot__a_shipments__snapshot__a_shipments,t3,Analytics,snowflake
snowflake/dbt/products/snapshot__accounting_order,dbt__snapshot__accounting_order__snapshot__accounting_order,t3,Analytics,snowflake
snowflake/dbt/products/snapshot__accounting_order_line_items,dbt__snapshot__accounting_order_line_items__snapshot__accounting_order_line_items,t3,Analytics,snowflake
snowflake/dbt/products/snapshot__fact_order_items,dbt__snapshot__fact_order_items__snapshot__fact_order_items,t3,DataPlatform,snowflake
snowflake/dbt/products/snapshot__report_tag_taxonomy,dbt__snapshot__report_tag_taxonomy__snapshot__report_tag_taxonomy,t2,DataPlatform,snowflake
snowflake/dbt/products/statsig_whn__stg_user_signed_up,dbt__products__statsig_whn,t3,DataPlatform,snowflake
snowflake/dbt/products/statsig_whn__user_entity_properties,dbt__products__statsig_whn,t3,DataPlatform,snowflake
snowflake/dbt/products/stg__ads_revenue_order_allocation,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stg__margin_order_items,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stg__margin_refund_credits,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stg__margin_seed_file_inputs,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stg__refunds_seller_billbacks,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stg__shipping_margin_components,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stg__shipping_vat_revenue_adjustment,dbt__products__financial_accounting,t3,Analytics,snowflake
snowflake/dbt/products/stripe__webhook_charges,dbt__products__payments,t3,Analytics,snowflake
snowflake/dbt/products/structured_attributes__debug_personal_preference_tfidf,dbt__products__structured_attributes,t3,CoreML,snowflake
snowflake/dbt/products/structured_attributes__laser_map_to_existing_attributes,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__laser_personal_preference_ngram,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__laser_personal_preference_tfidf,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__laser_personal_preference_tfidf_scores,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__listing_corpus_extracted_attribute_counts,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__listing_corpus_extracted_attributes,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__listing_engagement_summary_all_types,dbt__products__structured_attributes,t1,CoreML,snowflake
snowflake/dbt/products/structured_attributes__listings_for_inference,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__livestream_listing_attribute_join,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__livestream_to_attribute_mapping,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__livestream_to_attribute_mapping_laser,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__livestream_to_listing_mapping,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__most_used_existing_attributes,dbt__products__structured_attributes,t3,CoreML,snowflake
snowflake/dbt/products/structured_attributes__output_extracted_attributes,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__output_extracted_attributes_most_recent,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__output_extracted_attributes_unnest,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__output_extracted_existing_attributes,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__output_extracted_existing_attributes_most_recent,dbt__products__structured_attributes,t2,CoreML,snowflake
snowflake/dbt/products/structured_attributes__output_key_mapping_from_extracted_to_existing,dbt__products__structured_attributes,t2,CoreML,snowflake
