ASSET_KEY,ASSET_GROUP,SERVICE_TIER,DOMAIN,RESOURCE_TYPE
airtable/catex/influencer_monitor_scraping/airtable__influencer_monitor_scraping,airtable__catex,t3,growth,airtable
annoy/dsml-features-seller-sgns/seller_ann_index,annoy,,,annoy
auto_materialize_test_asset,default,t4,data_platforms,auto_materialize_test_asset
chalk/dev_card_fraud_order_day,chalk,,,chalk
chalk/dev_seller_bid_day,chalk,,,chalk
chalk/dev_seller_bid_hour,chalk,,,chalk
chalk/dev_seller_order_day,chalk,,,chalk
chalk/dev_seller_order_hour,chalk,,,chalk
chalk/dev_seller_watch_day,chalk,,,chalk
chalk/dev_seller_watch_hour,chalk,,,chalk
chalk/dev_tag_bid_day,chalk,,,chalk
chalk/dev_tag_bid_hour,chalk,,,chalk
chalk/dev_tag_order_day,chalk,,,chalk
chalk/dev_tag_order_hour,chalk,,,chalk
chalk/dev_tag_similarity_score_day,chalk,,,chalk
chalk/dev_tag_watch_day,chalk,,,chalk
chalk/dev_tag_watch_hour,chalk,,,chalk
chalk/dev_user_bid_day,chalk,,,chalk
chalk/dev_user_bid_hour,chalk,,,chalk
chalk/dev_user_country_bid_day,chalk,,,chalk
chalk/dev_user_country_order_day,chalk,,,chalk
chalk/dev_user_country_watch_day,chalk,,,chalk
chalk/dev_user_fraud_order_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_bid_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_bid_hour,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_order_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_order_hour,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_watch_day,chalk,,,chalk
chalk/dev_user_l1_versioned_tag_watch_hour,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_bid_day,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_bid_hour,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_order_day,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_order_hour,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_watch_day,chalk,,,chalk
chalk/dev_user_l2_versioned_tag_watch_hour,chalk,,,chalk
chalk/dev_user_order_day,chalk,,,chalk
chalk/dev_user_order_hour,chalk,,,chalk
chalk/dev_user_seller_bid_day,chalk,,,chalk
chalk/dev_user_seller_bid_hour,chalk,,,chalk
chalk/dev_user_seller_order_day,chalk,,,chalk
chalk/dev_user_seller_order_hour,chalk,,,chalk
chalk/dev_user_seller_watch_day,chalk,,,chalk
chalk/dev_user_seller_watch_hour,chalk,,,chalk
chalk/dev_user_similar_tag_bid_day,chalk,,,chalk
chalk/dev_user_similar_tag_bid_hour,chalk,,,chalk
chalk/dev_user_similar_tag_order_day,chalk,,,chalk
chalk/dev_user_similar_tag_order_hour,chalk,,,chalk
chalk/dev_user_similar_tag_watch_day,chalk,,,chalk
chalk/dev_user_similar_tag_watch_hour,chalk,,,chalk
chalk/dev_user_tag_bid_day,chalk,,,chalk
chalk/dev_user_tag_bid_hour,chalk,,,chalk
chalk/dev_user_tag_order_day,chalk,,,chalk
chalk/dev_user_tag_order_hour,chalk,,,chalk
chalk/dev_user_tag_watch_day,chalk,,,chalk
chalk/dev_user_tag_watch_hour,chalk,,,chalk
chalk/dev_user_watch_day,chalk,,,chalk
chalk/dev_user_watch_hour,chalk,,,chalk
chalk/prod_card_fraud_order_day,chalk,,,chalk
chalk/prod_freshness_alert,chalk_monitoring,,,chalk
chalk/prod_seller_bid_day,chalk,,,chalk
chalk/prod_seller_bid_hour,chalk,,,chalk
chalk/prod_seller_order_day,chalk,,,chalk
chalk/prod_seller_order_hour,chalk,,,chalk
chalk/prod_seller_watch_day,chalk,,,chalk
chalk/prod_seller_watch_hour,chalk,,,chalk
chalk/prod_tag_bid_day,chalk,,,chalk
chalk/prod_tag_bid_hour,chalk,,,chalk
chalk/prod_tag_order_day,chalk,,,chalk
chalk/prod_tag_order_hour,chalk,,,chalk
chalk/prod_tag_similarity_score_day,chalk,,,chalk
chalk/prod_tag_watch_day,chalk,,,chalk
chalk/prod_tag_watch_hour,chalk,,,chalk
chalk/prod_user_bid_day,chalk,,,chalk
chalk/prod_user_bid_hour,chalk,,,chalk
chalk/prod_user_country_bid_day,chalk,,,chalk
chalk/prod_user_country_order_day,chalk,,,chalk
chalk/prod_user_country_watch_day,chalk,,,chalk
chalk/prod_user_fraud_order_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_bid_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_bid_hour,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_order_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_order_hour,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_watch_day,chalk,,,chalk
chalk/prod_user_l1_versioned_tag_watch_hour,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_bid_day,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_bid_hour,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_order_day,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_order_hour,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_watch_day,chalk,,,chalk
chalk/prod_user_l2_versioned_tag_watch_hour,chalk,,,chalk
chalk/prod_user_order_day,chalk,,,chalk
chalk/prod_user_order_hour,chalk,,,chalk
chalk/prod_user_seller_bid_day,chalk,,,chalk
chalk/prod_user_seller_bid_hour,chalk,,,chalk
chalk/prod_user_seller_order_day,chalk,,,chalk
chalk/prod_user_seller_order_hour,chalk,,,chalk
chalk/prod_user_seller_watch_day,chalk,,,chalk
chalk/prod_user_seller_watch_hour,chalk,,,chalk
chalk/prod_user_similar_tag_bid_day,chalk,,,chalk
chalk/prod_user_similar_tag_bid_hour,chalk,,,chalk
chalk/prod_user_similar_tag_order_day,chalk,,,chalk
chalk/prod_user_similar_tag_order_hour,chalk,,,chalk
chalk/prod_user_similar_tag_watch_day,chalk,,,chalk
chalk/prod_user_similar_tag_watch_hour,chalk,,,chalk
chalk/prod_user_tag_bid_day,chalk,,,chalk
chalk/prod_user_tag_bid_hour,chalk,,,chalk
chalk/prod_user_tag_order_day,chalk,,,chalk
chalk/prod_user_tag_order_hour,chalk,,,chalk
chalk/prod_user_tag_watch_day,chalk,,,chalk
chalk/prod_user_tag_watch_hour,chalk,,,chalk
chalk/prod_user_watch_day,chalk,,,chalk
chalk/prod_user_watch_hour,chalk,,,chalk
chalk/stage_card_fraud_order_day,chalk,,,chalk
chalk/stage_seller_bid_day,chalk,,,chalk
chalk/stage_seller_bid_hour,chalk,,,chalk
chalk/stage_seller_order_day,chalk,,,chalk
chalk/stage_seller_order_hour,chalk,,,chalk
chalk/stage_seller_watch_day,chalk,,,chalk
chalk/stage_seller_watch_hour,chalk,,,chalk
chalk/stage_tag_bid_day,chalk,,,chalk
chalk/stage_tag_bid_hour,chalk,,,chalk
chalk/stage_tag_order_day,chalk,,,chalk
chalk/stage_tag_order_hour,chalk,,,chalk
chalk/stage_tag_similarity_score_day,chalk,,,chalk
chalk/stage_tag_watch_day,chalk,,,chalk
chalk/stage_tag_watch_hour,chalk,,,chalk
chalk/stage_user_bid_day,chalk,,,chalk
chalk/stage_user_bid_hour,chalk,,,chalk
chalk/stage_user_country_bid_day,chalk,,,chalk
chalk/stage_user_country_order_day,chalk,,,chalk
chalk/stage_user_country_watch_day,chalk,,,chalk
chalk/stage_user_fraud_order_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_bid_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_bid_hour,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_order_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_order_hour,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_watch_day,chalk,,,chalk
chalk/stage_user_l1_versioned_tag_watch_hour,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_bid_day,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_bid_hour,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_order_day,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_order_hour,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_watch_day,chalk,,,chalk
chalk/stage_user_l2_versioned_tag_watch_hour,chalk,,,chalk
chalk/stage_user_order_day,chalk,,,chalk
chalk/stage_user_order_hour,chalk,,,chalk
chalk/stage_user_seller_bid_day,chalk,,,chalk
chalk/stage_user_seller_bid_hour,chalk,,,chalk
chalk/stage_user_seller_order_day,chalk,,,chalk
chalk/stage_user_seller_order_hour,chalk,,,chalk
chalk/stage_user_seller_watch_day,chalk,,,chalk
chalk/stage_user_seller_watch_hour,chalk,,,chalk
chalk/stage_user_similar_tag_bid_day,chalk,,,chalk
chalk/stage_user_similar_tag_bid_hour,chalk,,,chalk
chalk/stage_user_similar_tag_order_day,chalk,,,chalk
chalk/stage_user_similar_tag_order_hour,chalk,,,chalk
chalk/stage_user_similar_tag_watch_day,chalk,,,chalk
chalk/stage_user_similar_tag_watch_hour,chalk,,,chalk
chalk/stage_user_tag_bid_day,chalk,,,chalk
chalk/stage_user_tag_bid_hour,chalk,,,chalk
chalk/stage_user_tag_order_day,chalk,,,chalk
chalk/stage_user_tag_order_hour,chalk,,,chalk
chalk/stage_user_tag_watch_day,chalk,,,chalk
chalk/stage_user_tag_watch_hour,chalk,,,chalk
chalk/stage_user_watch_day,chalk,,,chalk
chalk/stage_user_watch_hour,chalk,,,chalk
chalk/user_card_feature_data_validation,chalk_monitoring,,,chalk
chalk_feature_datasets/test_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/test_feature_dataset_stage,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/tutorial_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_bin_order_chargeback_training_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_nux_taxonomy_agnostic_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_nux_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_nux_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_nux_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_nux_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_seconds_since_start_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_taxonomy_agnostic_ranking_request_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_taxonomy_agnostic_ranking_request_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_taxonomy_agnostic_request_recall_evaluation_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_taxonomy_agnostic_request_recall_evaluation_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_taxonomy_agnostic_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_taxonomy_agnostic_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_nux_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_nux_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_nux_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_nux_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_seconds_since_start_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_training_feature_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_timestamp_training_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_training_feature_tag_dataset,chalk_feature_datasets,,,chalk_feature_datasets
chalk_feature_datasets/user_livestream_training_feature_tag_feature_dataset_limited,chalk_feature_datasets,,,chalk_feature_datasets
clickhouse/database/_batch_ingestion,default,,,clickhouse
clickhouse/database/_ingestion,default,,,clickhouse
clickhouse/database/ads,default,,,clickhouse
clickhouse/database/core,default,,,clickhouse
clickhouse/database/disco,default,,,clickhouse
clickhouse/database/events,default,,,clickhouse
clickhouse/database/logistics,default,,,clickhouse
clickhouse/database/sellx,default,,,clickhouse
clickhouse/database/sre,default,,,clickhouse
clickhouse/database/trust_and_safety,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE_DATABASE__ALL,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE_TEMPORARY_TABLE__ALL,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE___batch_ingestion,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE___ingestion,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__ads,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__core,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__disco,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__events,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__logistics,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__sellx,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__sre,default,,,clickhouse
clickhouse/grant/dbt_user__CREATE__trust_and_safety,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__ads,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__core,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__disco,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__logistics,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__sellx,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__sre,default,,,clickhouse
clickhouse/grant/dbt_user__DROP__trust_and_safety,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT___batch_ingestion,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__ads,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__core,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__disco,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__events,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__logistics,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__sellx,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__sre,default,,,clickhouse
clickhouse/grant/dbt_user__INSERT__trust_and_safety,default,,,clickhouse
clickhouse/grant/dbt_user__S3__ALL,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT___batch_ingestion,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT___ingestion,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__ads,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__core,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__disco,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__events,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__logistics,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__sellx,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__sre,default,,,clickhouse
clickhouse/grant/dbt_user__SELECT__trust_and_safety,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT___batch_ingestion,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__ads,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__core,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__disco,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__events,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__logistics,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__sellx,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__sre,default,,,clickhouse
clickhouse/grant/mbe_user__SELECT__trust_and_safety,default,,,clickhouse
clickhouse/materialized_view/ads__backend__events_mv_v2,default,,,clickhouse
clickhouse/materialized_view/ads__frontend__events_mv_v3,default,,,clickhouse
clickhouse/materialized_view/events__backend__events_mv_v2,default,,,clickhouse
clickhouse/materialized_view/events__frontend__events_mv_v3,default,,,clickhouse
clickhouse/materialized_view/logistics__shipment_updates_mv_v2,default,,,clickhouse
clickhouse/materialized_view/sre__backend_story_events_mv,default,,,clickhouse
clickhouse/materialized_view/sre__frontend_story_events_mv,default,,,clickhouse
clickhouse/table/_ingestion__analytics_events,default,,,clickhouse
clickhouse/table/_ingestion__frontend_events,default,,,clickhouse
clickhouse/table/ads__backend__events_v2,default,,,clickhouse
clickhouse/table/ads__frontend__events_v3,default,,,clickhouse
clickhouse/table/events__backend__events_v2,default,,,clickhouse
clickhouse/table/events__frontend__events,default,,,clickhouse
clickhouse/table/events__frontend__events_v3,default,,,clickhouse
clickhouse/table/logistics__shipment_updates_v2,default,,,clickhouse
clickhouse/table/sre__e2e_slo_story_events,default,,,clickhouse
clickhouse/view/ads__backend__events_view,default,,,clickhouse
clickhouse/view/ads__frontend__events_view,default,,,clickhouse
clickhouse/view/events__backend__events_view,default,,,clickhouse
clickhouse/view/events__example,default,,,clickhouse
clickhouse/view/events__frontend__events_view,default,,,clickhouse
clickhouse/view/logistics__shipment_updates_view,default,,,clickhouse
clickhouse/view/sre__e2e_slo_story_events_view,default,,,clickhouse
clustering_depth_monitor,default,t4,not_set,clustering_depth_monitor
compliance/addresses/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/bulk_imported_listings/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/cancellation_requests/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/cards/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/enqueue_users_to_nullify,compliance,t1,dataplatforms,compliance
compliance/extract_semantic_categories,compliance,t4,not_set,compliance
compliance/invoices/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/mark_users_nullified,compliance,t1,dataplatforms,compliance
compliance/orders/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/payouts/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/pickup_details/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/quotations/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/rating_answers/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/seller_application_states/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/tax_transactions/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/ts_addresses/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/user_data_destroyer,compliance,t4,not_set,compliance
compliance/user_device/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/user_profiles/nullify_history_table,compliance,t1,dataplatforms,compliance
compliance/users/nullify_history_table,compliance,t1,dataplatforms,compliance
datadog/APP_DATA/CDC_PROD/cdc_v2_latency,snowflake__monitoring,t3,DataPlatform,datadog
datadog/dagster_asset_freshness_sla_monitor,datadog,t3,data_platforms,datadog
datadog/disco_monitor_first_pass_ranker_recall_metrics,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_feed_nux,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_feed_perf,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_feed_perf_by_l1_tag,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_feed_perf_by_l2_tag,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_feed_ranking_perf,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_nux_feed_perf_by_l1_tag,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_nux_feed_perf_by_l2_tag,datadog,t4,not_set,datadog
datadog/disco_monitor_metrics_star_search_impressions,datadog,t4,not_set,datadog
datadog/event_delivery/daily_duplication_percentage_check,datadog,t4,not_set,datadog
datadog/event_delivery/hourly_stream_latency_check,datadog,t4,not_set,datadog
datadog/event_table_freshness_monitor,default,t4,not_set,datadog
datadog/frontend_events_datadog_reporter,datadog,t4,not_set,datadog
datadog/ml_metrics_datasets,datadog,t4,not_set,datadog
datadog/notifications_email_spam_report_metrics,datadog,t3,growth,datadog
datadog/prod/toy_classification_evaluation,model_evaluation__whatnotml,t4,coreml,datadog
datadog/prod/toy_ranking_evaluation,model_evaluation__whatnotml,t4,coreml,datadog
datadog/prod/toy_regression_evaluation,model_evaluation__whatnotml,t4,coreml,datadog
datadog/prod/watch30s_livestream_hourly_eval,model_evaluation__whatnotml,t1,discoml,datadog
datadog/risk_monitor_metrics,datadog,t4,not_set,datadog
datadog/snowflake_pipe_monitor,datadog,t4,not_set,datadog
datadog/snowflake_query_monitor,datadog,t4,not_set,datadog
datadog/snowflake_stream_monitor,datadog,t4,not_set,datadog
datadog/snowflake_task_metrics,datadog,t4,not_set,datadog
datadog/snowflake_task_monitor,datadog,t4,not_set,datadog
datadog/user_data_destroyer_offline_monitor,datadog,t4,not_set,datadog
dbt_cli/drop_deprecated_models,dbt_cli,,,dbt_cli
direct_messages_backfill/starting_fan_out_step_conversations,direct_messages,t4,not_set,direct_messages_backfill
direct_messages_backfill/starting_fan_out_step_direct_messages,direct_messages,t4,not_set,direct_messages_backfill
high_viewer_count_livestreams,snowflake,t4,not_set,high_viewer_count_livestreams
laser/dynamo/ad_seller_recent_data,laser,t2,Ads,laser
laser/dynamo/adbeagg,laser,t2,Ads,laser
laser/dynamo/adfe,laser,t2,Ads,laser
laser/dynamo/adfeagg,laser,t2,Ads,laser
laser/dynamo/adsfyf,laser,t2,Ads,laser
laser/dynamo/adsfyftoplevel,laser,t2,Ads,laser
laser/dynamo/campaign_budget_distribution,laser,t2,Ads,laser
laser/dynamo/community__loyalty_program_analytics,laser,t2,Community,laser
laser/dynamo/community_l90d_seller_analytics,laser,t2,Community,laser
laser/dynamo/cs_seller_buyer_hist,laser,t1,CustomerExperienceEngineering,laser
laser/dynamo/cs_seller_daily,laser,t1,CustomerExperienceEngineering,laser
laser/dynamo/disco__user_listing_aggregated,laser,t2,Discovery,laser
laser/dynamo/highvaluebuyers,laser,t2,Growth,laser
laser/dynamo/impressions,laser,t2,Discovery,laser
laser/dynamo/indexing_es__listings_v9_side_load_laser_compound_key,laser,t2,DataPlatform,laser
laser/dynamo/indexing_es__livestreams_v2_side_load_laser_compound_key,laser,t2,DataPlatform,laser
laser/dynamo/indexing_es__livestreams_v2_uuid_to_index_metadata,laser,t2,DataPlatform,laser
laser/dynamo/indexing_es__queries_v2_side_load_laser_compound_key,laser,t2,DataPlatform,laser
laser/dynamo/indexing_es__users_v1_side_load_laser_compound_key,laser,t2,DataPlatform,laser
laser/dynamo/klpterms,laser,t1,Growth,laser
laser/dynamo/laser__followed_sellers_with_auctions,laser,t2,Marketplace,laser
laser/dynamo/laser__followed_sellers_with_listings,laser,t2,Marketplace,laser
laser/dynamo/laser__premier_shop_eligibility,laser,t1,Marketplace,laser
laser/dynamo/laser__premier_shop_program_criteria_batched,laser,t3,Marketplace,laser
laser/dynamo/laser__sdb_sales,laser,t1,Growth,laser
laser/dynamo/laser__sellers_with_livestreams,laser,t2,Discovery,laser
laser/dynamo/llai,laser,t1,Discovery,laser
laser/dynamo/logshipup2,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/mysterytagorders,laser,t1,Discovery,laser
laser/dynamo/numlivestreamorders,laser,t1,Growth,laser
laser/dynamo/per_user_high_engagement_listings,laser,t1,CoreML,laser
laser/dynamo/positive_buyer_seller_interactions,laser,t2,Ads,laser
laser/dynamo/prodshares,laser,t1,Seller_Merchandising,laser
laser/dynamo/ptv,laser,t1,Marketplace,laser
laser/dynamo/rlsm,laser,t1,BuyerGrowth,laser
laser/dynamo/sdb2__overall_livestreams,laser,t1,Seller_Scaling,laser
laser/dynamo/sdb2__overall_sales,laser,t1,Growth,laser
laser/dynamo/sdb2__overall_users,laser,t1,Growth,laser
laser/dynamo/sdbls,laser,t1,Seller_Scaling,laser
laser/dynamo/serpqueries,laser,t1,Search,laser
laser/dynamo/similar_listings__previous_purchases,laser,t1,CoreML,laser
laser/dynamo/similar_listings__user_engagement_embedding_v0,laser,t2,CoreML,laser
laser/dynamo/slord,laser,t2,Marketplace,laser
laser/dynamo/slscntagg,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/slscntall,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/slscntls,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/slscntlsall,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/slscntmp,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/slscntwb,laser,t1,PaymentsAndLogistics,laser
laser/dynamo/srank,laser,t2,Search,laser
laser/dynamo/srchpopsel,laser,t1,Search,laser
laser/dynamo/srchq2reform,laser,t1,Search,laser
laser/dynamo/sshp,laser,t2,Marketplace,laser
laser/dynamo/structured_attributes__laser_map_to_existing_attributes,laser,t2,CoreML,laser
laser/dynamo/swing_s2s,laser,t2,Ads,laser
laser/dynamo/tagengversioned,laser,t1,Discovery,laser
laser/dynamo/tagtfidf3,laser,t1,Discovery,laser
laser/dynamo/tfidf__user_followed_seller_livestreams_top_laser,laser,t2,Discovery,laser
